Year,Prop
1036,0.1411
1036,0.1412
1036,0.1413
1036,0.1414
1036,0.1415
1036,0.1416
1036,0.1417
1036,0.1418
1036,0.1419
1036,0.142
1036,0.1421
1036,0.1422
1036,0.1423
1036,0.1424
1036,0.1425
1036,0.1426
1036,0.1427
1036,0.1428
1036,0.1429
1036,0.143
1036,0.1431
1036,0.1432
1036,0.1433
1036,0.1434
1036,0.1435
1036,0.1436
1036,0.1437
1036,0.1438
1037,0.1439
1037,0.144
1037,0.1441
1037,0.1442
1037,0.1443
1037,0.1444
1037,0.1445
1037,0.1446
1037,0.1447
1037,0.1448
1037,0.1449
1037,0.145
1037,0.1451
1037,0.1452
1037,0.1453
1037,0.1454
1037,0.1455
1037,0.1456
1037,0.1457
1037,0.1458
1037,0.1459
1037,0.146
1037,0.1461
1037,0.1462
1037,0.1463
1037,0.1464
1037,0.1465
1037,0.1466
1037,0.1467
1037,0.1468
1037,0.1469
1037,0.147
1037,0.1471
1037,0.1472
1037,0.1473
1037,0.1474
1037,0.1475
1037,0.1476
1037,0.1477
1037,0.1478
1037,0.1479
1038,0.148
1038,0.1481
1038,0.1482
1038,0.1483
1038,0.1484
1038,0.1485
1038,0.1486
1038,0.1487
1038,0.1488
1038,0.1489
1038,0.149
1038,0.1491
1038,0.1492
1038,0.1493
1038,0.1494
1038,0.1495
1038,0.1496
1038,0.1497
1038,0.1498
1038,0.1499
1038,0.15
1038,0.1501
1038,0.1502
1038,0.1503
1038,0.1504
1038,0.1505
1038,0.1506
1038,0.1507
1038,0.1508
1038,0.1509
1038,0.151
1038,0.1511
1038,0.1512
1038,0.1513
1038,0.1514
1038,0.1515
1039,0.1516
1039,0.1517
1039,0.1518
1039,0.1519
1039,0.152
1039,0.1521
1039,0.1522
1039,0.1523
1039,0.1524
1039,0.1525
1039,0.1526
1039,0.1527
1039,0.1528
1039,0.1529
1039,0.153
1039,0.1531
1039,0.1532
1039,0.1533
1039,0.1534
1039,0.1535
1039,0.1536
1039,0.1537
1039,0.1538
1039,0.1539
1039,0.154
1039,0.1541
1039,0.1542
1039,0.1543
1039,0.1544
1039,0.1545
1039,0.1546
1039,0.1547
1039,0.1548
1039,0.1549
1039,0.155
1039,0.1551
1039,0.1552
1039,0.1553
1039,0.1554
1039,0.1555
1039,0.1556
1039,0.1557
1039,0.1558
1040,0.1559
1040,0.156
1040,0.1561
1040,0.1562
1040,0.1563
1040,0.1564
1040,0.1565
1040,0.1566
1040,0.1567
1040,0.1568
1040,0.1569
1040,0.157
1040,0.1571
1040,0.1572
1040,0.1573
1040,0.1574
1040,0.1575
1040,0.1576
1040,0.1577
1040,0.1578
1040,0.1579
1040,0.158
1040,0.1581
1040,0.1582
1040,0.1583
1040,0.1584
1040,0.1585
1040,0.1586
1040,0.1587
1040,0.1588
1040,0.1589
1040,0.159
1040,0.1591
1040,0.1592
1040,0.1593
1040,0.1594
1040,0.1595
1040,0.1596
1040,0.1597
1040,0.1598
1040,0.1599
1041,0.16
1041,0.1601
1041,0.1602
1041,0.1603
1041,0.1604
1041,0.1605
1041,0.1606
1041,0.1607
1041,0.1608
1041,0.1609
1041,0.161
1041,0.1611
1041,0.1612
1041,0.1613
1041,0.1614
1041,0.1615
1041,0.1616
1041,0.1617
1041,0.1618
1041,0.1619
1041,0.162
1041,0.1621
1041,0.1622
1041,0.1623
1041,0.1624
1041,0.1625
1041,0.1626
1041,0.1627
1041,0.1628
1041,0.1629
1041,0.163
1041,0.1631
1041,0.1632
1041,0.1633
1041,0.1634
1041,0.1635
1041,0.1636
1041,0.1637
1041,0.1638
1041,0.1639
1041,0.164
1042,0.1641
1042,0.1642
1042,0.1643
1042,0.1644
1042,0.1645
1042,0.1646
1042,0.1647
1042,0.1648
1042,0.1649
1042,0.165
1042,0.1651
1042,0.1652
1042,0.1653
1042,0.1654
1042,0.1655
1042,0.1656
1042,0.1657
1042,0.1658
1042,0.1659
1042,0.166
1042,0.1661
1042,0.1662
1042,0.1663
1042,0.1664
1042,0.1665
1042,0.1666
1042,0.1667
1042,0.1668
1042,0.1669
1042,0.167
1042,0.1671
1042,0.1672
1042,0.1673
1042,0.1674
1042,0.1675
1042,0.1676
1042,0.1677
1042,0.1678
1042,0.1679
1042,0.168
1042,0.1681
1042,0.1682
1042,0.1683
1042,0.1684
1042,0.1685
1042,0.1686
1042,0.1687
1042,0.1688
1042,0.1689
1042,0.169
1042,0.1691
1042,0.1692
1042,0.1693
1042,0.1694
1042,0.1695
1042,0.1696
1042,0.1697
1042,0.1698
1042,0.1699
1042,0.17
1043,0.1701
1043,0.1702
1043,0.1703
1043,0.1704
1043,0.1705
1043,0.1706
1043,0.1707
1043,0.1708
1043,0.1709
1043,0.171
1043,0.1711
1043,0.1712
1043,0.1713
1043,0.1714
1043,0.1715
1043,0.1716
1043,0.1717
1043,0.1718
1043,0.1719
1043,0.172
1043,0.1721
1043,0.1722
1043,0.1723
1043,0.1724
1043,0.1725
1043,0.1726
1043,0.1727
1043,0.1728
1043,0.1729
1043,0.173
1043,0.1731
1043,0.1732
1043,0.1733
1043,0.1734
1043,0.1735
1043,0.1736
1043,0.1737
1043,0.1738
1043,0.1739
1043,0.174
1043,0.1741
1043,0.1742
1044,0.1743
1044,0.1744
1044,0.1745
1044,0.1746
1044,0.1747
1044,0.1748
1044,0.1749
1044,0.175
1044,0.1751
1044,0.1752
1044,0.1753
1044,0.1754
1044,0.1755
1044,0.1756
1044,0.1757
1044,0.1758
1044,0.1759
1044,0.176
1044,0.1761
1044,0.1762
1044,0.1763
1044,0.1764
1044,0.1765
1044,0.1766
1044,0.1767
1044,0.1768
1044,0.1769
1044,0.177
1044,0.1771
1044,0.1772
1044,0.1773
1044,0.1774
1044,0.1775
1044,0.1776
1044,0.1777
1044,0.1778
